f1-Re,f1-Im,f2-Re,f2-Im,f3-Re,f3-Im,f4-Re,f4-Im,f5-Re,f5-Im,f6-Re,f6-Im,f7-Re,f7-Im,f8-Re,f8-Im,f9-Re,f9-Im,f10-Re,f10-Im,f11-Re,f11-Im,f12-Re,f12-Im,f13-Re,f13-Im,f14-Re,f14-Im,f15-Re,f15-Im,f16-Re,f16-Im,f17-Re,f17-Im,f18-Re,f18-Im,f19-Re,f19-Im,f20-Re,f20-Im,f21-Re,f21-Im,f22-Re,f22-Im,f23-Re,f23-Im,f24-Re,f24-Im,f25-Re,f25-Im,f26-Re,f26-Im,f27-Re,f27-Im,f28-Re,f28-Im,SoC,Battery,cycle
0.144909,-0.0541006,0.123315,-0.0420299,0.114426,-0.0345284,0.106409,-0.0264072,0.101078,-0.0207047,0.0990031,-0.0185334,0.0937225,-0.0133284,0.0912917,-0.0111282,0.0887538,-0.00899279,0.0868209,-0.00753943,0.0860183,-0.00701708,0.083761,-0.00589226,0.0825444,-0.00552907,0.0810371,-0.00532629,0.0796351,-0.00528502,0.0789407,-0.00532179,0.0786491,-0.00534244,0.0765574,-0.00566342,0.0751561,-0.00594021,0.0723731,-0.00643147,0.0711419,-0.00654807,0.0701474,-0.0066186,0.0696864,-0.00663574,0.066656,-0.00649435,0.0648036,-0.00620725,0.0624661,-0.0055549,0.0602891,-0.00453414,0.0593011,-0.00388609,55,B01,1
0.183274,-0.129345,0.154531,-0.0838173,0.142125,-0.0653816,0.130338,-0.0482983,0.122021,-0.0371839,0.118651,-0.0330516,0.109925,-0.0236676,0.105741,-0.0198559,0.101198,-0.0162531,0.097584,-0.013817,0.0960224,-0.0129012,0.0915988,-0.0107493,0.0892387,-0.00982651,0.0864987,-0.00892516,0.0841782,-0.00828979,0.0831515,-0.00808119,0.0827212,-0.00802791,0.0797384,-0.00786691,0.0778449,-0.00781703,0.0742864,-0.00779522,0.0728252,-0.00767186,0.0717248,-0.00754408,0.0712425,-0.00748643,0.0680199,-0.00691467,0.0661587,-0.00644957,0.0638859,-0.00565541,0.0618121,-0.0046108,0.0608534,-0.00399732,5,B01,1
0.143558,-0.0551444,0.121898,-0.0423044,0.113076,-0.0345589,0.105171,-0.0262493,0.099972,-0.020474,0.0979512,-0.0182811,0.0928074,-0.0130721,0.0904566,-0.0108734,0.087995,-0.00873522,0.0861343,-0.00730567,0.0853555,-0.00678034,0.0831988,-0.00566574,0.0820437,-0.00531221,0.0805912,-0.00507412,0.0792745,-0.00510515,0.078606,-0.00511678,0.0783305,-0.00517212,0.0762952,-0.00549085,0.0749169,-0.00575739,0.0722154,-0.00628594,0.0709696,-0.00643158,0.0700174,-0.00649561,0.0696014,-0.0064815,0.0665952,-0.00640558,0.0647538,-0.00611864,0.062434,-0.00549633,0.060272,-0.00450128,0.0592833,-0.00386028,60,B01,1
0.14419,-0.059237,0.121856,-0.0446523,0.112844,-0.0361958,0.104825,-0.027275,0.0995741,-0.0210965,0.0975559,-0.018783,0.0924343,-0.013287,0.0900855,-0.0109939,0.0876508,-0.00878976,0.0858193,-0.00730403,0.08504,-0.00675218,0.0829262,-0.00558432,0.0818075,-0.00523311,0.0803936,-0.00502326,0.0790857,-0.00499861,0.0784558,-0.00505138,0.0781901,-0.00508598,0.0761948,-0.00539551,0.0748386,-0.00571163,0.0721529,-0.00622248,0.0709437,-0.00635768,0.0699984,-0.00642338,0.0695667,-0.0064621,0.066548,-0.00636009,0.0647741,-0.00609673,0.0624385,-0.00546468,0.0602755,-0.00449767,0.0592887,-0.00387717,65,B01,1
0.145761,-0.0644804,0.122458,-0.0472927,0.113163,-0.0379525,0.104946,-0.0283832,0.0995768,-0.0218607,0.0975056,-0.0193958,0.0922825,-0.0136265,0.0899106,-0.0112487,0.0874436,-0.00894156,0.0855973,-0.0074134,0.0848141,-0.00682944,0.0826968,-0.00561218,0.081569,-0.00522812,0.080185,-0.00497898,0.0788971,-0.00494404,0.0782628,-0.00496029,0.0780198,-0.00502897,0.0760403,-0.00535728,0.0747337,-0.00566366,0.0720901,-0.00617845,0.0708536,-0.00631307,0.0699085,-0.00638413,0.0695257,-0.006401,0.0665372,-0.00634375,0.0647241,-0.006072,0.0623935,-0.00547172,0.0602338,-0.00450163,0.0592267,-0.00387754,70,B01,1
0.143787,-0.0598914,0.120991,-0.0446216,0.111953,-0.0359704,0.104003,-0.0269893,0.0988228,-0.02083,0.0968353,-0.0185044,0.0918091,-0.0130483,0.0895084,-0.0107772,0.0871357,-0.00860115,0.0853465,-0.00713835,0.0845971,-0.00659954,0.0825333,-0.0054403,0.081446,-0.00506426,0.0801056,-0.00485792,0.078859,-0.00483817,0.0782252,-0.00488718,0.0779724,-0.00491331,0.0760424,-0.00530557,0.0746966,-0.00562832,0.072085,-0.00615783,0.0708522,-0.00633491,0.0699342,-0.00639883,0.0694872,-0.00640558,0.066519,-0.00638059,0.0647191,-0.00612042,0.0623455,-0.0054977,0.0601725,-0.00451113,0.0591844,-0.00389378,75,B01,1
0.141237,-0.0568097,0.119043,-0.0427128,0.110334,-0.034499,0.102693,-0.0258633,0.0977717,-0.019952,0.0958643,-0.0177255,0.091077,-0.0124902,0.0888959,-0.0103174,0.0866327,-0.00823726,0.0849107,-0.00683885,0.084192,-0.00632329,0.0822315,-0.00522299,0.0811791,-0.00486663,0.079904,-0.00467689,0.0787122,-0.00471521,0.0781264,-0.00476862,0.0778408,-0.00478481,0.0759727,-0.00524079,0.0746577,-0.00557899,0.0720326,-0.00614258,0.0708058,-0.00630697,0.0698648,-0.0063936,0.0694367,-0.00639219,0.0664586,-0.00636329,0.0646094,-0.00612399,0.0622531,-0.00554117,0.0600652,-0.00453362,0.0590451,-0.00390645,80,B01,1
0.139209,-0.0547993,0.117529,-0.0414053,0.109064,-0.0334407,0.101699,-0.0250226,0.0969646,-0.019267,0.0951465,-0.017106,0.0905578,-0.0120286,0.0884742,-0.00992336,0.0862948,-0.00791171,0.0846545,-0.00657002,0.0839674,-0.00607364,0.082077,-0.00502657,0.0810808,-0.00470005,0.0798478,-0.00453719,0.0786893,-0.00459585,0.0781089,-0.00467258,0.0778665,-0.00474879,0.0759806,-0.00521035,0.0747046,-0.00548909,0.0720489,-0.0061463,0.0708578,-0.00632001,0.0699214,-0.0064361,0.0694711,-0.00644824,0.0664615,-0.00641448,0.0645953,-0.00619979,0.062215,-0.00556939,0.0600027,-0.00458926,0.0589909,-0.00395691,85,B01,1
0.136437,-0.0531026,0.115255,-0.0400344,0.107057,-0.0322314,0.100008,-0.0240243,0.095497,-0.0184074,0.0937702,-0.0163173,0.0894553,-0.0114121,0.0874935,-0.00939453,0.0854535,-0.00748017,0.0839097,-0.00620561,0.0832573,-0.00572839,0.0814797,-0.00471931,0.0805509,-0.00444031,0.0793839,-0.00430351,0.0783104,-0.00437281,0.0777583,-0.00449387,0.0775295,-0.00453683,0.0757288,-0.005029,0.0744258,-0.0054342,0.0718853,-0.00605584,0.0706463,-0.00621726,0.0697405,-0.00634602,0.0693151,-0.00637786,0.0662749,-0.0063894,0.0644489,-0.00617751,0.0620816,-0.00557945,0.0598363,-0.00458671,0.0588205,-0.00393825,90,B01,1
0.133649,-0.0522484,0.113192,-0.0390536,0.105387,-0.0313037,0.098718,-0.0231937,0.0944734,-0.0176843,0.0928405,-0.0156409,0.0887981,-0.0108669,0.0869731,-0.00893256,0.0850501,-0.00709081,0.0836058,-0.00588375,0.0830025,-0.00543851,0.0813358,-0.00451868,0.0804384,-0.00424975,0.079342,-0.00412833,0.0783121,-0.00423199,0.0777661,-0.00436334,0.0775436,-0.00436672,0.0757958,-0.00495029,0.0745446,-0.00534815,0.0719444,-0.00603707,0.0707422,-0.00624645,0.069779,-0.0063497,0.0693443,-0.00641387,0.0663744,-0.00644545,0.0644784,-0.00623753,0.0620688,-0.00562596,0.0598107,-0.00463051,0.0587808,-0.00398499,95,B01,1
0.169587,-0.184505,0.146944,-0.118566,0.134193,-0.0905027,0.120754,-0.0652514,0.110708,-0.0489796,0.106683,-0.0430016,0.0964345,-0.0284738,0.0920315,-0.0224192,0.0877904,-0.0166311,0.0848705,-0.0127695,0.0837419,-0.0113576,0.0808748,-0.00819949,0.0795091,-0.00707141,0.0779405,-0.00615989,0.0765875,-0.00575269,0.0759331,-0.00565359,0.075657,-0.00563033,0.0736668,-0.00578326,0.0722848,-0.00600812,0.0695107,-0.00651869,0.0682232,-0.00665462,0.0672781,-0.00673065,0.0668204,-0.00673918,0.0637239,-0.00669472,0.0617809,-0.00643225,0.059371,-0.00580427,0.05711,-0.00478235,0.056097,-0.0041195,100,B01,2
0.172348,-0.0749181,0.145875,-0.056361,0.134555,-0.0465003,0.123771,-0.0363181,0.116127,-0.029185,0.113015,-0.0264115,0.104961,-0.0197186,0.101132,-0.0168094,0.097034,-0.0139561,0.093799,-0.0119895,0.0924026,-0.0112433,0.0884305,-0.00945295,0.0863233,-0.00866912,0.083871,-0.00785899,0.0818628,-0.00731826,0.0809653,-0.00714487,0.0805985,-0.00709515,0.0780421,-0.00703961,0.0763616,-0.0072371,0.0731084,-0.00748819,0.0716851,-0.00751389,0.0705666,-0.0075263,0.0700407,-0.00751228,0.0667171,-0.00711124,0.0647764,-0.0067091,0.0623932,-0.00595248,0.0602398,-0.00495944,0.0592729,-0.0043735,10,B01,2
