PC1,PC2,soc,cycle,battery
5.3123302347328885,0.7957049200907425,10,2,B03
4.05211308346055,-2.025752525271614,15,2,B03
4.6377352406067995,-1.338116162868056,20,2,B03
4.497671766096258,-1.0343276289178953,25,2,B03
5.040175923269261,0.1218225387483711,30,2,B03
4.344116621570375,-1.5367216831109027,35,2,B03
5.001439206925823,0.8610956869222458,40,2,B03
4.945362843149086,0.7133314008392222,45,2,B03
4.242464725566693,-1.5239594755056913,50,2,B03
4.045201485101607,-2.160191184828484,55,2,B03
4.428478780134114,-1.3836570442290541,5,2,B03
4.211362602713816,-1.8324218899604332,60,2,B03
3.8858854807008476,-2.0681951618746646,65,2,B03
4.5230236853904024,-0.3780245315604062,70,2,B03
3.8415914592465508,-2.3740084560674926,75,2,B03
4.069133267339183,-1.934426084513397,80,2,B03
3.4237494338784606,-2.5581024177799376,85,2,B03
3.121143098839047,-2.735899715767759,90,2,B03
3.0629247409538105,-2.817675549484377,95,2,B03
1.2154227529243642,-0.09158238671622976,100,1,B04
2.6628059460590756,-0.4584271916853715,10,1,B04
2.5987218613215584,0.05736755891924949,15,1,B04
2.340555859721485,-0.4371573669119316,20,1,B04
2.404452837444918,-0.4795033667680616,25,1,B04
1.7503699931032355,-0.9688294231697184,30,1,B04
2.034122198291193,-0.8157166138145513,35,1,B04
1.977950065455669,-0.8009472327389998,40,1,B04
1.9173051420493785,-0.9483069275947249,45,1,B04
1.5985326276100658,-1.218866148460771,50,1,B04
3.110966853849549,0.09536855559594104,55,1,B04
3.4720361402273854,0.25485232328777074,5,1,B04
1.546578124526262,-1.045242024356011,60,1,B04
1.0393988972956423,-1.8210377194324006,65,1,B04
1.5123534801313472,-0.967930202099217,70,1,B04
1.0889432728363273,-1.5255107573370776,75,1,B04
0.5337954046880916,-2.189220278944331,80,1,B04
1.596076493296485,-1.2255115498873148,85,1,B04
0.9720995179308309,-1.647275457603024,90,1,B04
1.0364671989886334,-1.7323135456310486,95,1,B04
-1.7393969502963338,-1.229960291287377,100,2,B04
-0.3349722666009764,-2.4286235742169144,10,2,B04
-0.36576906245747337,-2.3680371289333433,15,2,B04
-0.9145761017313174,-2.01346864251155,20,2,B04
-0.8112950173935047,-1.8457438008359284,25,2,B04
-1.0680775073530477,-1.9135297719552735,30,2,B04
-0.8931047928921714,-1.8140691367890354,35,2,B04
-0.9661393474587902,-1.871175046003299,40,2,B04
-1.0814746896246918,-1.9981762480924248,45,2,B04
-2.670900203201931,-3.7765262477789108,50,2,B04
-1.2092140605782047,-2.287107682931366,55,2,B04
0.21737222304632456,-1.898980661939355,5,2,B04
-1.144463569650885,-2.1196501265994776,60,2,B04
-1.297483479603911,-2.292587432848925,65,2,B04
-1.738610111123239,-2.5574031958004944,70,2,B04
-2.003686027354262,-2.8732767677617383,75,2,B04
-1.8637620441461449,-2.762908359140268,80,2,B04
-1.5546318360319042,-2.527275401408095,85,2,B04
-1.948818869829572,-2.764668539197375,90,2,B04
-1.9314922454864143,-2.698358694987309,95,2,B04
-1.7060621676872945,1.021808510832808,100,1,B05
-1.8002247174898895,0.6994793376960188,10,1,B05
-1.7960764543718268,0.6804348515277477,15,1,B05
-1.9815517123541642,0.6118515972961573,20,1,B05
-2.0594578001695014,0.5296658494191355,25,1,B05
-1.6244082566778686,0.9737439489949887,30,1,B05
-1.9226981244924555,0.6078656913380909,35,1,B05
-1.4784884789978576,1.0901401776917705,40,1,B05
-2.3453311331547106,0.1778300836901721,45,1,B05
-2.2924128273162014,0.2884056517792384,50,1,B05
-2.4859844464165874,0.09301377297198407,55,1,B05
-1.3373862173313464,1.1374962388248788,5,1,B05
-1.914206482468565,0.8149685294541151,60,1,B05
-2.39851542722169,0.3388594906481005,65,1,B05
-1.8587249158996335,0.8759230094406414,70,1,B05
-2.4244236759234616,0.4192812436548727,75,1,B05
-3.057009324139374,-0.37495593960284446,80,1,B05
-3.1472354596588485,-0.4016205853891176,85,1,B05
-2.910819029234663,-0.19091093826115935,90,1,B05
-2.8568828140772373,-0.11727665666020155,95,1,B05
-0.5082244433578393,2.3138822096200715,100,2,B05
-1.5164449117411498,0.7639574205548793,10,2,B05
-1.4820363949444784,0.8398678444758046,15,2,B05
-1.8811237876490443,0.41099852015119115,20,2,B05
-1.6521113984607885,0.6470213879408346,25,2,B05
-1.745491478160947,0.5783996146019282,30,2,B05
-1.7818857943264022,0.5584887941868419,35,2,B05
-1.8920050385514795,0.4506136645609385,40,2,B05
-1.718000771018624,0.558676790967793,45,2,B05
-1.7947732353819055,0.5074553464604616,50,2,B05
-1.9154594671160672,0.41621984894193,55,2,B05
-0.9642230868463654,0.3788430815944795,5,2,B05
-2.465808692014071,-0.1217477718979313,60,2,B05
-1.3210837329766068,1.0981117978298254,65,2,B05
-1.9196919294977812,0.42674693046766127,70,2,B05
-2.202896741337401,0.13963930845037792,75,2,B05
-1.7797370051671653,0.5739411211892134,80,2,B05
-1.5132053115995256,0.9531304386322477,85,2,B05
