x_tailhead,y_tailhead,intercept,x_ymax,y_ymax,slope,diameter,shape,shoulder,battery,soc,cycle
0.07390321202404809,-0.005970975182552884,0.05270504472599627,0.06561940280561122,-0.006434824224533729,-2.0637793321374116,0.042396334596103646,0.2868368872946137,0,B01,100,1
0.08109248416833667,-0.006846831234568798,0.05540489041397663,0.07149465571142284,-0.006976071098880035,-0.9534884013617435,0.05137518750872008,0.31676910650605034,0,B01,10,1
0.07959061402805612,-0.0065134789820147886,0.056987532927368176,0.07161113947895792,-0.00697138197753136,-0.8201084471814593,0.04520616220137588,0.283991791955773,0,B01,15,1
0.07932820721442885,-0.006361729602475268,0.056619610850768956,0.07016676633266533,-0.006948224561570357,-0.8436429990005405,0.04541719272731978,0.28626130806507716,0,B01,20,1
0.08023257314629259,-0.006310199472790575,0.056322572408582704,0.0709098641282565,-0.006952263469664821,-0.8154166398108557,0.047820001475419774,0.29800864910705815,0,B01,25,1
0.08026594729458919,-0.0061594947633854796,0.056143517257395005,0.06962688617234469,-0.006930485691598096,-0.7967479313514386,0.04824486007438837,0.3005313068649263,0,B01,30,1
0.07982696993987975,-0.006008132357856841,0.05647150105064336,0.06945988877755511,-0.006905789656680388,-0.7848832008913097,0.046710937778472794,0.2925761670125541,0,B01,35,1
0.07871230320641283,-0.005831212052651871,0.05505178118423901,0.0693445639278557,-0.0068732221686916735,-0.7860591350151118,0.04732104404434764,0.30059496493359067,0,B01,40,1
0.07849779519038076,-0.005672083134524542,0.05601800248108205,0.07023009258517034,-0.006796221471320708,-0.7762060072547773,0.04495958541859742,0.28637482944302384,0,B01,45,1
0.07848125450901804,-0.0055528987031560305,0.0557483481321247,0.07003463967935872,-0.006718992384626031,-0.7742152901981375,0.045465812753786666,0.2896603337843073,0,B01,50,1
0.08280467174348699,-0.005590607035579485,0.05616284834390035,0.06925151723446894,-0.006641755393128074,-0.7355447839227343,0.05328364679917329,0.3217429987781113,0,B01,55,1
0.0831785995991984,-0.008087945237366593,0.05702713362444712,0.0831785995991984,-0.008087945237366593,-1.478612189783832,0.05230293194950257,0.31440137367981497,0,B01,5,1
0.0787053250501002,-0.00511616986279615,0.05607618971429496,0.07009207915831663,-0.006492351089218381,-0.7974961605518376,0.045258270671610465,0.28751720828801053,0,B01,60,1
0.08293856112224449,-0.005589582649130138,0.05619232756337688,0.06864655871743487,-0.006497590357222851,-0.8117673331522314,0.05349246711773521,0.3224824882052861,0,B01,65,1
0.0784758128256513,-0.004946654341439278,0.05565930990866858,0.06841771783567134,-0.006424869456346408,-0.9185601640591687,0.04563300583396544,0.2907456717609775,0,B01,70,1
0.08156424609218436,-0.005096003493835066,0.05569840689226324,0.06783115871743486,-0.006427713538025404,-0.8322149914286261,0.051731678399842246,0.31712227402540333,0,B01,75,1
0.07732826813627255,-0.004860749809136268,0.05496539507560338,0.067774901002004,-0.006399188806025153,-0.8447465037132345,0.04472574612133835,0.289194024380062,0,B01,80,1
0.0782818258517034,-0.004644519509474487,0.055904154542462565,0.06815408977955911,-0.006458320617775437,-0.8216897987024133,0.04475534261848167,0.2858603649796436,0,B01,85,1
0.07873014328657314,-0.004317234331370614,0.055786490663400065,0.06768651302605211,-0.006430694461603758,-0.8094987491433837,0.045887305246346155,0.2914214513704048,0,B01,90,1
0.0770852496993988,-0.004438568907717189,0.05568810341015017,0.0679330248496994,-0.00650824223371131,-0.8573340886742977,0.04279429257849725,0.2775776996596471,0,B01,95,1
0.07815818236472946,-0.006258700079972781,0.05277580229049667,0.06542182965931864,-0.00675066590683757,-2.2017815303756976,0.05076476014846558,0.3247565297230751,0,B01,100,2
0.08080022364729458,-0.0071214917192165775,0.05559982591848591,0.07082967374749499,-0.0075264573599741775,-0.841826795264591,0.050400795457617345,0.31188524723412014,0,B01,10,2
0.07962976452905811,-0.006882785920677701,0.05337228886123905,0.07085986472945892,-0.007512383676914817,-0.8214798515220224,0.05251495133563812,0.3297444846548216,0,B01,15,2
0.07944414268537074,-0.006680370559573984,0.05434788937989877,0.07048708296593187,-0.007468203927663026,-0.8384669959507353,0.050192506610943946,0.3158980946507631,0,B01,20,2
